PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
59408,20040130,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20040226,78.3,82.24,81.46,1434014,0.012806,81.44,81.46,1485805,2,2,81.46,,20040130,0.012806,0.023049,0.022025,0.065763,0.064746,0.017276
59408,20040227,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20040330,81.34,82.76,81.92,868179,0.005647,81.98,82,1485805,2,2,81.92,,20040227,0.005647,0.015458,0.013972,0.01372,0.012522,0.012209
59408,20040331,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,,N,A,R,3151,4005,1,6211,6050510,20040128,20040326,20040305,0,,,1232,0.8,0,0,,,20040331,78.31,82.74,80.98,1472147,-0.001709,80.97,80.99,1485805,2,2,80.98,,20040331,-0.011475,-0.010674,-0.011998,0.006293,0.004664,-0.016359
59408,20040430,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20040527,80.08,82,80.49,1369569,-0.006051,80.45,80.46,2038797,2,2,80.49,,20040430,-0.006051,-0.024232,-0.025578,-0.04359,-0.044794,-0.016791
59408,20040528,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20040609,77.92,83.13,83.13,1244520,0.032799,83.2,83.22,2038797,2,2,83.13,,20040528,0.032799,0.014068,0.012383,0.002592,0.000918,0.012083
59408,20040630,20140513,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20040402,20040625,20040604,0,,,1232,0.8,0,0,,,20040729,82.55,85.44,84.62,1163881,0.027547,84.75,84.76,2038797,2,2,84.62,,20040630,0.017924,0.021578,0.020014,0.022729,0.020998,0.017989
59408,20040730,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20040829,83.61,85.38,85.01,973423,0.004609,84.97,84.98,2031328,2,2,85.01,,20040730,0.004609,-0.037666,-0.038761,-0.051082,-0.052306,-0.034291
59408,20040831,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20040623,20040827,20040806,0,,,5523,0,1,1,,,20040929,44.57,89.01,44.98,1075732,0.058228,44.95,44.96,4067614,1,1,44.98,,20040831,0.058228,0.002714,0.001069,-0.004725,-0.00619,0.002287
59408,20040930,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,20040623,20040924,20040903,0,,,1232,0.45,0,0,,,20041028,43.33,44.68,43.33,1751378,-0.026678,43.32,43.33,4067614,1,1,43.33,,20040930,-0.036683,0.020547,0.019089,0.041594,0.040003,0.009364
59408,20041029,,11,1,6021,6050510,BAC,BANK OF AMERICA CORP,,BAC,522110,N,A,R,3151,4005,1,6211,6050510,,,,0,,,,,,,,,20041129,43.62,45.53,44.79,1905436,0.033695,44.7,44.71,4049063,1,1,44.79,,20041029,0.033695,0.017805,0.016578,0.020837,0.019626,0.014014
