date	TSYMBOL	BIDLO	ASKHI	PRC	VOL	BID	ASK
20040130	BAC	78.3	82.24	81.46	1434014	81.44	81.46
20040227	BAC	81.34	82.76	81.92	868179	81.98	82
20040331	BAC	78.31	82.74	80.98	1472147	80.97	80.99
20040430	BAC	80.08	82	80.49	1369569	80.45	80.46
20040528	BAC	77.92	83.13	83.13	1244520	83.2	83.22
20040630	BAC	82.55	85.44	84.62	1163881	84.75	84.76
20040730	BAC	83.61	85.38	85.01	973423	84.97	84.98
20040831	BAC	44.57	89.01	44.98	1075732	44.95	44.96
20040930	BAC	43.33	44.68	43.33	1751378	43.32	43.33
20041029	BAC	43.62	45.53	44.79	1905436	44.7	44.71
20041130	BAC	45.11	47.44	46.27	1758060	46.28	46.28
20041231	BAC	45.2	46.99	46.99	1701356	46.94	46.97
20050131	BAC	44.5	46.46	46.37	2059206	46.33	46.35
20050228	BAC	45.2	47.06	46.65	1465544	46.54	46.55
20050331	BAC	43.66	47.08	44.1	2400001	44.05	44.11
20050429	BAC	44.01	45.52	45.04	2086934	45.02	45.03
20050531	BAC	45.13	46.71	46.32	1617699	46.35	46.36
20050630	BAC	45.61	47.08	45.61	2159803	45.6	45.61
20050729	BAC	43.6	45.98	43.6	3332051	43.6	43.61
20050831	BAC	42.69	43.94	43.03	2659400	43	43.04
20050930	BAC	41.6	43.68	42.1	2829977	42.11	42.14
20051031	BAC	41.57	43.98	43.74	2771837	43.74	43.76
20051130	BAC	43.62	46.99	45.89	2647368	45.89	45.91
20051230	BAC	45.74	46.97	46.15	2434156	46.08	46.11
20060131	BAC	43.96	47.08	44.23	3109429	44.2	44.22
20060228	BAC	43.09	45.98	45.85	2668970	45.84	45.86
20060331	BAC	45.15	46.99	45.54	2922484	45.52	45.6
20060428	BAC	45.48	49.92	49.92	2600682	49.91	49.92
20060531	BAC	48.12	50.47	48.4	3252377	48.38	48.4
20060630	BAC	46.64	49.26	48.1	3100115	48.02	48.03
20060731	BAC	47.98	51.66	51.53	2415816	51.46	51.47
20060831	BAC	51.13	52.51	51.47	2487779	51.47	51.49
20060929	BAC	51.18	53.57	53.57	2313981	53.61	53.62
20061031	BAC	53.26	54.82	53.87	2405474	53.81	53.85
20061130	BAC	53.43	54.9	53.85	2175283	53.86	53.87
20061229	BAC	51.66	53.77	53.39	2856616	53.3	53.35
20070131	BAC	51.46	53.67	52.58	3074898	52.54	52.55
20070228	BAC	50.8	54.05	50.83	2706259	50.83	50.87
20070330	BAC	49.46	51.86	51.02	3817497	51.01	51.02
20070430	BAC	50.28	51.82	50.9	3221234	50.84	50.87
20070531	BAC	50.58	51.5	50.71	3211506	50.7	50.73
20070629	BAC	48.8	50.85	48.89	3970905	48.84	48.86
20070731	BAC	47.15	49.8	47.42	5249133	47.38	47.41
20070831	BAC	47	51.87	50.68	8317244	50.67	50.69
20070928	BAC	48.96	51.24	50.27	4305041	50.26	50.29
20071031	BAC	47	52.71	48.28	5361352	48.22	48.28
20071130	BAC	41.88	46.27	46.13	7701412	46.14	46.18
20071231	BAC	41.1	46.64	41.26	5902500	41.15	41.18
20080131	BAC	35.97	44.15	44.15	12008427	44.07	44.19
20080229	BAC	39.74	45.03	39.74	7869503	39.73	39.75
20080331	BAC	35.31	42.45	37.91	10550680	37.85	37.88
20080430	BAC	35.58	40.86	37.54	8087140	37.54	37.58
20080530	BAC	33.87	39.79	34.01	7957283	33.98	34.01
20080630	BAC	23.87	33.58	23.87	14183470	23.77	23.8
20080731	BAC	18.52	33.61	32.9	26443979	32.89	32.9
20080829	BAC	28.08	33.58	31.14	12563690	31.1	31.11
20080930	BAC	26.55	37.48	35	23326782	34.68	35.1
20081031	BAC	19.63	38.13	24.17	28876130	23.54	23.6
20081128	BAC	11.25	24.53	16.25	24413274	16.21	16.22
20081231	BAC	12.75	17.84	14.08	22788998	14	14.04
20090130	BAC	5.1	14.33	6.58	48897455	6.58	6.6
20090227	BAC	3.79	6.89	3.95	92128156	3.99	4
20090331	BAC	3.14	7.8	6.82	102251399	6.79	6.8
20090430	BAC	7.05	11.02	8.93	109987926	8.87	8.88
20090529	BAC	8.7	14.17	11.27	111839255	11.28	11.29
20090630	BAC	11.21	13.72	13.2	77155623	13.13	13.14
20090731	BAC	11.84	14.79	14.79	67362720	14.72	14.73
20090831	BAC	15.32	17.98	17.59	61028022	17.6	17.61
20090930	BAC	16.27	17.63	16.92	37449169	16.89	16.88
20091030	BAC	14.58	18.59	14.58	46055672	14.6	14.61
20091130	BAC	14.63	16.43	15.85	31488852	15.86	15.87
20091231	BAC	14.86	16.28	15.06	51249246	15.09	15.1
20100129	BAC	14.77	16.93	15.18	45926354	15.12	15.13
20100226	BAC	14.45	16.66	16.66	40837423	16.69	16.7
20100331	BAC	16.37	18.04	17.85	38018079	17.81	17.82
20100430	BAC	17.47	19.48	17.83	43659099	17.78	17.8
20100528	BAC	15.3	18.06	15.74	45779139	15.73	15.74
20100630	BAC	14.37	15.89	14.37	29818197	14.36	14.37
20100730	BAC	13.36	15.67	14.04	35602192	14.04	14.05
20100831	BAC	12.32	14.44	12.46	30110118	12.43	12.44
20100930	BAC	13.1025	13.95	13.1025	29678694	13.1	13.11
20101029	BAC	11.16	13.56	11.449	57363856	11.44	11.45
20101130	BAC	10.95	12.6	10.95	39307832	10.94	10.95
20101231	BAC	11.29	13.38	13.34	40123958	13.34	13.35
20110131	BAC	13.55	15.25	13.73	46517300	13.72	13.73
20110228	BAC	13.97	14.89	14.29	27919451	14.28	14.29
20110331	BAC	13.33	14.69	13.33	32800019	13.33	13.34
20110429	BAC	12.23	13.72	12.28	25289012	12.3	12.31
20110531	BAC	11.38	12.6	11.75	25529121	11.74	11.75
20110630	BAC	10.5	11.29	10.96	37298550	10.95	10.96
20110729	BAC	9.57	11.09	9.71	33048516	9.71	9.72
20110831	BAC	6.3	9.81	8.17	87967800	8.18	8.19
20110930	BAC	6.06	7.91	6.12	54361650	6.11	6.12
20111031	BAC	5.53	7.35	6.83	59376689	6.82	6.83
20111130	BAC	5.08	6.91	5.44	56708803	5.42	5.43
20111230	BAC	4.985	5.89	5.56	49710148	5.55	5.56
