date	TSYMBOL	BIDLO	ASKHI	PRC	VOL	BID	ASK
20040130	CELG	39.75	46.61	40.47	497858	40.4	40.41
20040227	CELG	39.21	42.59	40.99	256196	40.98	40.99
20040331	CELG	41.79	47.77	47.65	300117	47.6	47.68
20040430	CELG	49.67	59.5	51.6	425394	51.69	51.62
20040528	CELG	51.34	57	57	271200	56.78	56.89
20040630	CELG	53.86	58.82	57.26	272973	57.36	57.4
20040730	CELG	48.74	56.95	53.33	283277	53.28	53.31
20040831	CELG	49.7	57.23	56.75	204835	56.7	56.75
20040930	CELG	56.3	59.84	58.23	192564	58.42	58.23
20041029	CELG	28.99	63.14	29.62	347325	29.61	29.61
20041130	CELG	26.62	32.09	27.42	682499	27.45	27.42
20041231	CELG	26.05	29.16	26.52	431825	26.52	26.53
20050131	CELG	25.17	29.85	27.34	440305	27.34	27.34
20050228	CELG	27.12	28.61	27.375	229595	27.35	27.36
20050331	CELG	28.15	34.05	34.05	568440	34.04	33.94
20050429	CELG	33.7	40.1	37.91	577606	37.79	37.79
20050531	CELG	37	42.34	42.34	666740	42.33	42.25
20050630	CELG	39.48	42.35	40.7	497059	40.7	40.75
20050729	CELG	40.22	48.8	47.85	539221	47.84	47.85
20050831	CELG	45.95	50.19	50.19	326963	50.19	50.16
20050930	CELG	50.64	57	54.32	782388	54.2	54.17
20051031	CELG	45.91	56.1	56.1	520048	56.09	56.06
20051130	CELG	56.6	62.95	60.92	339214	60.84	60.87
20051230	CELG	57.06	64.85	64.8	569667	64.79	64.76
20060131	CELG	64.88	71.8799	71.15	612923	71.1	71.15
20060228	CELG	38	73.98	38	356074	38.01	38.01
20060331	CELG	38.33	44.22	44.22	664178	44.1	44.16
20060428	CELG	36.59	42.85	42.16	845118	42.17	42.17
20060531	CELG	38.2	42.88	41.45	834902	41.38	41.45
20060630	CELG	41.1	47.43	47.43	888416	47.31	47.38
20060731	CELG	45.08	48.91	47.89	776627	47.89	47.85
20060831	CELG	40.69	46.95	40.69	825040	40.77	40.69
20060929	CELG	40.61	43.87	43.3	740035	43.26	43.29
20061031	CELG	42.36	53.44	53.44	845660	53.34	53.37
20061130	CELG	51.08	56.27	55.73	1066778	55.7	55.73
20061229	CELG	55.37	59.62	57.53	755768	57.47	57.51
20070131	CELG	53.59	58.04	53.68	789788	53.63	53.65
20070228	CELG	53.17	57.22	53.3	658708	53.25	53.29
20070330	CELG	50.19	55.02	52.46	915959	52.44	52.45
20070430	CELG	53.8	62.18	61.16	849099	61.16	61.19
20070531	CELG	61.199	65.97	61.199	918348	61.2	61.24
20070629	CELG	56.25	61.8	57.33	961790	57.29	57.33
20070731	CELG	56.69	61.75	60.56	907982	60.44	60.45
20070831	CELG	58.71	64.21	64.21	887551	64.12	64.18
20070928	CELG	65.07	72.2	71.31	769441	71.29	71.31
20071031	CELG	64.22	75.18	66	996429	65.91	65.99
20071130	CELG	60.4099	65.48	61.55	888027	61.5	61.51
20071231	CELG	46.21	60.28	46.21	1878709	46.21	46.44
20080131	CELG	46.3	56.11	56.11	1433632	55.9	56.01
20080229	CELG	54.26	59.7	56.4099	980385	56.37	56.44
20080331	CELG	54.35	61.82	61.29	1161740	61.2	61.26
20080430	CELG	62.03	64.78	62.14	703479	62.15	62.18
20080530	CELG	56.9	65.64	60.86	970511	60.82	60.84
20080630	CELG	58.74	63.87	63.87	810625	63.83	63.87
20080731	CELG	67.37	75.49	75.49	1416406	75.44	75.48
20080829	CELG	69.3	77.01	69.3	742643	69.37	69.39
20080930	CELG	56	71.15	63.28	1186914	63.27	63.28
20081031	CELG	52.71	64.26	64.26	1569614	64.25	64.26
20081128	CELG	47.5	65.23	52.1	1034507	52.1	52.08
20081231	CELG	47.25	55.28	55.28	1135445	55.25	55.29
20090130	CELG	48.33	56.49	52.95	1131981	52.95	52.97
20090227	CELG	44.73	55.35	44.73	1056214	44.61	44.67
20090331	CELG	39.95	48.42	44.4	1510187	44.35	44.44
20090430	CELG	38.01	42.72	42.72	1783897	42.65	42.68
20090529	CELG	39.11	42.24	42.24	1077006	42.17	42.2
20090630	CELG	42.23	48.33	47.84	1027668	47.87	47.87
20090731	CELG	46.02	57.68	56.96	1028328	56.96	57.01
20090831	CELG	51.99	57.79	52.17	692528	52.18	52.18
20090930	CELG	50.97	55.9	55.9	700488	55.89	55.91
20091030	CELG	50.45	56.56	51.05	831836	51.01	51.04
20091130	CELG	50.21	55.75	55.45	650220	55.41	55.45
20091231	CELG	50.62	57.32	55.68	964095	55.67	55.73
20100129	CELG	55.09	58.74	56.78	815899	56.78	56.79
20100226	CELG	54.77	60.04	59.52	616127	59.5	59.51
20100331	CELG	60.99	65.02	61.96	666818	61.9	61.95
20100430	CELG	58.39	63.4	61.99	882167	61.99	62.05
20100528	CELG	51.66	61.89	52.76	1110634	52.68	52.72
20100630	CELG	50.82	56.07	50.82	999690	50.78	50.82
20100730	CELG	49.02	55.15	55.15	852717	55.12	55.19
20100831	CELG	50.62	57.81	51.47	754046	51.47	51.52
20100930	CELG	52.73	58.46	57.61	596149	57.61	57.62
20101029	CELG	57.37	62.03	62.03	692361	62.02	62.06
20101130	CELG	59.38	62.95	59.38	567132	59.34	59.37
20101231	CELG	55.64	60.59	59.14	876594	59.12	59.14
20110131	CELG	51.1801	60.02	51.53	855992	51.51	51.53
20110228	CELG	49.5	53.92	53.1	1266832	53.08	53.11
20110331	CELG	51.92	57.575	57.575	866712	57.53	57.54
20110429	CELG	55.35	59	58.88	647211	58.87	58.95
20110531	CELG	58.79	60.95	60.91	648543	60.9	60.91
20110630	CELG	57.83	60.53	60.32	562920	60.27	60.29
20110729	CELG	59.14	61.99	59.3	567068	59.3	59.31
20110831	CELG	51.85	59.53	59.47	1094789	59.46	59.48
20110930	CELG	58.34	65.56	61.91	956044	61.92	61.93
20111031	CELG	60.7	67.86	64.83	796858	64.82	64.83
20111130	CELG	60.24	65.41	63.08	706608	63.08	63.09
20111230	CELG	61.21	68.01	67.6	711228	67.59	67.6
20120131	CELG	67.22	74.02	72.69	809686	72.69	72.7
20120229	CELG	71.74	75.5	73.325	608343	73.32	73.33
20120330	CELG	72.28	78.5	77.52	578990	77.52	77.54
20120430	CELG	72.92	80.29	72.925	691326	72.9	72.91
20120531	CELG	68.1	72.58	68.25	721685	68.24	68.25
20120629	CELG	59.445	67.62	64.16	1079313	64.15	64.16
20120731	CELG	62.95	70.6	68.46	678950	68.46	68.49
20120831	CELG	68.15	72.04	72.04	618181	72.04	72.06
20120928	CELG	70.96	77.27	76.4	492794	76.36	76.39
20121031	CELG	73.35	80.29	73.35	531804	73.32	73.34
20121130	CELG	71.3	79.39	78.59	578553	78.6	78.65
20121231	CELG	77.73	82.08	78.47	599504	78.68	78.71
20130131	CELG	81.1	100.03	98.96	1011094	99	99.02
20130228	CELG	97.835	103.27	103.27	658136	103.18	103.19
20130328	CELG	105.56	115.91	115.91	655344	115.89	115.91
20130430	CELG	115.55	126.84	118.07	740650	118.06	118.07
20130531	CELG	116.66	130.17	123.65	716177	123.53	123.54
20130628	CELG	112.2	120.888	116.98	645356	116.91	116.94
20130731	CELG	118.91	146.86	146.86	631958	146.86	147.10001
20130830	CELG	132.44	148.78999	139.98	505913	139.98	140.02
20130930	CELG	143.00999	154.61	154.13699	584327	153.92999	154.05
20131031	CELG	146.87	160.842	148.49001	686006	148.49001	148.52
20131129	CELG	144.49001	163.96001	161.77	604541	161.77	161.84
20131231	CELG	159.92999	170.77	168.968	512071	168.87	168.95
20140131	CELG	151.92999	171.94	151.92999	741111	151.89	151.92
20140228	CELG	148.60001	165.84	160.75	604087	160.75	160.83
20140331	CELG	139.28999	163.24001	139.60001	863942	139.60001	139.64999
20140430	CELG	136.89999	147.42	147.00999	873700	147.02	147.03
20140530	CELG	144.12	155.13	153.03	522545	153.00999	153.02
20140630	CELG	85.88	172.92	85.88	567886	85.88	85.89
20140731	CELG	83.13	90.19	87.15	1083057	87.15	87.16
20140829	CELG	85.22	95.655	95.02	803742	95.05	95.06
20140930	CELG	89.46	96.21	94.78	897298	94.78	94.79
20141031	CELG	86.38	107.09	107.09	1428946	107.04	107.08
20141128	CELG	104.05	113.69	113.69	762940	113.68	113.69
20141231	CELG	106.12	118.68	111.86	1290319	111.86	111.87
