date	TSYMBOL	BIDLO	ASKHI	PRC	VOL	BID	ASK
20040130	DVD	3.56	4.18	3.77	6804	3.76	3.77
20040227	DVD	3.71	4.15	3.77	6215	3.75	3.77
20040331	DVD	3.72	4	3.85	4954	3.82	3.86
20040430	DVD	4	5.5	4	14366	4	4.07
20040528	DVD	4.26	4.91	4.59	10473	4.6	4.61
20040630	DVD	3.99	4.5	4	12521	3.99	4
20040730	DVD	3.84	4.35	4.35	3797	4.21	4.25
20040831	DVD	3.94	4.55	4.55	2818	4.5	4.57
20040930	DVD	4.15	4.7	4.29	2532	4.24	4.29
20041029	DVD	4.22	5	4.75	3196	4.72	4.79
20041130	DVD	4.83	5.4	4.86	6058	4.86	4.89
20041231	DVD	4.96	6.07	5.73	5068	5.72	5.73
20050131	DVD	5.45	6.02	6.02	3508	6.02	6.03
20050228	DVD	4.94	6	5.79	2938	5.51	5.9
20050331	DVD	4.96	5.85	5.05	4549	4.95	4.96
20050429	DVD	4.55	5.15	4.57	5466	4.55	4.56
20050531	DVD	4.65	6.24	5.76	14569	5.81	5.82
20050630	DVD	5.77	6.1	6	11275	5.81	5.97
20050729	DVD	5.71	6.03	6	4441	5.98	6.01
20050831	DVD	5.86	6.97	6.97	10147	6.95	6.97
20050930	DVD	6.21	7.11	6.84	7924	6.84	6.85
20051031	DVD	5.92	6.73	6.2	5466	6.15	6.18
20051130	DVD	6.05	6.53	6.43	8828	6.17	6.2
20051230	DVD	6.04	6.49	6.11	8452	6.1	6.11
20060131	DVD	6.13	6.41	6.14	5193	6.14	6.18
20060228	DVD	4.97	5.99	4.97	17290	4.95	4.97
20060331	DVD	4.71	5.83	5.49	13112	5.43	5.46
20060428	DVD	5.67	6.28	6.04	15986	6.01	6.02
20060531	DVD	5.9	6.1	6.06	10133	6.03	6.07
20060630	DVD	5.67	6.1	5.87	10789	5.84	5.85
20060731	DVD	5.5	6	5.89	4996	5.88	5.9
20060831	DVD	5.47	5.88	5.8	5034	5.81	5.83
20060929	DVD	5.42	5.83	5.42	5480	5.42	5.43
20061031	DVD	5.1	5.6	5.28	12087	5.25	5.27
20061130	DVD	5.14	5.47	5.29	10789	5.27	5.3
20061229	DVD	5.22	5.38	5.31	6677	5.29	5.31
20070131	DVD	5.14	5.49	5.42	9168	5.4	5.42
20070228	DVD	5.3	5.56	5.31	9574	5.31	5.32
20070330	DVD	5.25	5.46	5.25	12707	5.27	5.29
20070430	DVD	5.31	5.87	5.61	9459	5.6	5.61
20070531	DVD	5.58	6.25	5.73	14085	5.7	5.73
20070629	DVD	5.62	6.07	6.06	26868	6	6.03
20070731	DVD	5.79	6.28	5.82	14035	5.77	5.78
20070831	DVD	5.45	6	5.95	12072	5.94	5.96
20070928	DVD	6.02	6.47	6.47	7898	6.43	6.46
20071031	DVD	6.26	6.68	6.44	10064	6.45	6.47
20071130	DVD	6.38	6.8	6.8	12022	6.76	6.8
20071231	DVD	6.51	6.82	6.55	7223	6.53	6.55
20080131	DVD	6.36	7.08	6.96	11615	6.95	6.98
20080229	DVD	6.77	7.04	6.91	8607	6.9	6.91
20080331	DVD	5.75	6.94	6.161	5943	6.15	6.18
